,condition,correct,correct_response,exp_stage,key_press,possible_responses,rt,stim_color,stim_word,trial_type,worker_id
stroop_0_4,incongruent,0.0,66.0,practice,71.0,"[66, 71, 82]",1339,blue,red,poldrack-categorize,s002
stroop_0_6,congruent,0.0,66.0,practice,71.0,"[66, 71, 82]",757,blue,blue,poldrack-categorize,s002
stroop_0_8,congruent,1.0,71.0,practice,71.0,"[66, 71, 82]",1086,green,green,poldrack-categorize,s002
stroop_0_10,congruent,1.0,82.0,practice,82.0,"[66, 71, 82]",633,red,red,poldrack-categorize,s002
stroop_0_12,congruent,1.0,66.0,practice,66.0,"[66, 71, 82]",983,blue,blue,poldrack-categorize,s002
stroop_0_14,congruent,1.0,66.0,practice,66.0,"[66, 71, 82]",682,blue,blue,poldrack-categorize,s002
stroop_0_16,incongruent,0.0,71.0,practice,82.0,"[66, 71, 82]",1175,green,red,poldrack-categorize,s002
stroop_0_18,congruent,1.0,71.0,practice,71.0,"[66, 71, 82]",1140,green,green,poldrack-categorize,s002
stroop_0_20,congruent,0.0,82.0,practice,-1.0,"[66, 71, 82]",-1,red,red,poldrack-categorize,s002
stroop_0_22,incongruent,0.0,82.0,practice,-1.0,"[66, 71, 82]",-1,red,blue,poldrack-categorize,s002
stroop_0_24,congruent,1.0,82.0,practice,82.0,"[66, 71, 82]",771,red,red,poldrack-categorize,s002
stroop_0_26,incongruent,0.0,66.0,practice,71.0,"[66, 71, 82]",662,blue,green,poldrack-categorize,s002
stroop_0_28,incongruent,1.0,82.0,practice,82.0,"[66, 71, 82]",1334,red,blue,poldrack-categorize,s002
stroop_0_30,congruent,1.0,71.0,practice,71.0,"[66, 71, 82]",652,green,green,poldrack-categorize,s002
stroop_0_32,incongruent,1.0,66.0,practice,66.0,"[66, 71, 82]",761,blue,red,poldrack-categorize,s002
stroop_0_34,congruent,1.0,71.0,practice,71.0,"[66, 71, 82]",623,green,green,poldrack-categorize,s002
stroop_0_36,incongruent,1.0,71.0,practice,71.0,"[66, 71, 82]",1086,green,blue,poldrack-categorize,s002
stroop_0_38,congruent,1.0,82.0,practice,82.0,"[66, 71, 82]",682,red,red,poldrack-categorize,s002
stroop_0_40,incongruent,1.0,66.0,practice,66.0,"[66, 71, 82]",805,blue,green,poldrack-categorize,s002
stroop_0_42,congruent,1.0,66.0,practice,66.0,"[66, 71, 82]",582,blue,blue,poldrack-categorize,s002
stroop_0_44,incongruent,1.0,71.0,practice,71.0,"[66, 71, 82]",902,green,red,poldrack-categorize,s002
stroop_0_46,incongruent,1.0,71.0,practice,71.0,"[66, 71, 82]",782,green,blue,poldrack-categorize,s002
stroop_0_48,incongruent,1.0,82.0,practice,82.0,"[66, 71, 82]",710,red,green,poldrack-categorize,s002
stroop_0_50,incongruent,1.0,82.0,practice,82.0,"[66, 71, 82]",673,red,green,poldrack-categorize,s002
stroop_0_53,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",789,red,red,poldrack-categorize,s002
stroop_0_55,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",822,blue,blue,poldrack-categorize,s002
stroop_0_57,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",1095,red,blue,poldrack-categorize,s002
stroop_0_59,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",682,green,blue,poldrack-categorize,s002
stroop_0_61,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",821,green,red,poldrack-categorize,s002
